210,260
393.733930992,397.584604361,92.5390070698
393.700254073,398.169324043,93.2963076694
393.659620705,398.744967336,94.0376832691
393.612683948,399.311488838,94.7361838688
393.55987285,399.868841896,95.4128094684
393.499873236,400.425466984,96.1522600681
393.434199994,400.972777324,96.8423606678
393.35897351,401.544928745,97.4902862675
393.278076598,402.107605706,98.1814368672
393.189696679,402.669155937,98.9441624668
393.100713575,403.186963075,99.7508130665
393.001184113,403.720380341,100.569188666
392.896779797,404.244085137,101.274514266
392.786458406,404.766575486,101.922614865
392.665497463,405.304376596,102.675890465
392.539098162,405.832072825,103.470291065
392.403740873,406.366432243,104.214466664
392.253825623,406.932609475,104.830717264
392.099863727,407.488767732,105.473742864
391.938676231,408.042874998,106.219493464
391.778121607,408.570211509,106.933569063
391.439938944,409.637618768,107.579569663
391.261937822,410.177494007,108.247795263
391.07201397,410.731533871,108.921620862
390.872854631,411.29147149,109.579521462
390.661225717,411.865213219,110.246872062
390.449381429,412.420475839,110.882897661
390.222333176,412.997558076,111.476748261
389.97931257,413.596082401,112.098773861
389.732490824,414.183718214,112.783624461
389.479300569,414.768638309,113.40600006
389.219713005,415.350747509,114.03415066
388.963870941,415.90618536,114.73142626
388.698204371,416.4665389,115.365876859
388.425784218,417.023640396,116.058427459
388.154535564,417.562092304,116.736978059
387.864767609,418.120094246,117.442653658
387.572030493,418.666793246,118.167404258
387.267982898,419.217144676,118.918929858
386.970221892,419.74140098,119.595205457
386.662245657,420.269716231,120.239631057
386.349063699,420.794962297,120.805831657
386.030400466,421.316901098,121.405632257
385.701954068,421.8429218,121.980582856
385.35827905,422.379693919,122.629908456
385.045799538,422.854568877,123.345909056
384.732911814,423.318823889,123.978259655
384.401315545,423.801602467,124.483210255
384.075201438,424.267219542,125.007060855
383.744578335,424.729645792,125.563811455
383.409218044,425.18864813,126.152937054
383.069384239,425.644348314,126.713362654
382.709879609,426.117582928,127.223038254
382.356766228,426.574011688,127.727113854
381.999579015,427.027259486,128.240289453
381.627593293,427.490747568,128.749790053
381.251645566,427.951027793,129.241265653
380.86020685,428.420859783,129.799241253
380.458785475,428.893549635,130.338841853
380.052792797,429.362319048,130.895242452
379.647411969,429.820175743,131.521293052
379.237191106,430.273701057,132.129843652
378.810625587,430.735624744,132.721069251
378.362137145,431.212437526,133.246669851
377.90278839,431.690811156,133.837720451
377.456353317,432.145709551,134.462021051
376.992800461,432.607890318,135.08492165
376.53308135,433.061706053,135.37024725
376.085915044,433.503717285,135.33217285
375.652127397,433.934756315,135.18209845
375.219713203,434.367173165,134.99982405
374.788132627,434.800422025,134.88947465
374.369778717,435.22252934,134.74412525
373.95790431,435.638931446,134.686800851
373.552223443,436.049110689,134.681386407
373.14658134,436.459328267,134.675971964
372.759008918,436.851309389,134.675971964
372.395715411,437.218846697,134.667297564
372.02649489,437.592401725,134.664004784
371.657295836,437.965977972,134.660712009
371.282099314,438.345970792,134.636112609
370.907154226,438.72621171,134.598213209
370.544788376,439.094663656,134.522863809
370.182747414,439.463434841,134.472364409
369.815196767,439.838866253,134.392290009
369.447735075,440.214384734,134.378715609
369.086784535,440.584223283,134.303191209
368.714736725,440.967299518,134.163266809
368.361322589,441.33245193,134.064117409
